Codigo;Cod Barras;Nome;Venda;
40716;7896111907665;0038 V KT ADEPOXI 38 VERNIZ BRILHA;0,00;
566105;7899594113141;013141-4 ANIMAL SORT PM 144-4;0,00;
566117;7899594100431;057419-4 RESINA GALO;0,00;
563530;5635306;1 CANETA POSTER 25MM VERMELHA;0,00;
563532;5635320;1 MOLD PLAS BMTT A4 VERMELHA CPROT;0,00;
563531;5635313;1 MOLD PLAS BMTT A5 VERMELHA CPROT;0,00;
563528;5635283;1 REMOVEDOR TCM C5L;0,00;
111058;1110586;101;29,90;
450065;4500650;1025;0,00;
540537;5405374;1213;0,00;
542742;15427427;1325464;0,00;
578794;57891055785305;1539 ESPONJA L4P3 PESADA 1535 CONDOR;1,00;
520621;5206216;2 CH PCPT 2 05X3 00X3 0 CR PLM;0,00;
563639;7898506726882;2221 CARRINHO DE CONTROLE REMOTO;88,90;
563640;7898506724550;2233 CARRINHO DE CONTROLE REMOTO;129,00;
563527;5635276;25 CARTAO AMARELO LISO 2 FACES A2 420MMX594MM;0,00;
621;6217;3045B XEROX 110V MULTIF 3045B XEROX;0,00;
180641;7899360218063;4018B CONJ SOMBRA CX C 192 PC;4,90;
331791;3317914;424324;0,00;
543160;5431601;55X80X0,6 SACO PLASTICO;0,00;
40693;7896111907658;7013 V KT ADPOLY 7990 ACB BR BNCO;0,00;
43168;7898905723192;7013 V KT ADPOLY 7990 ACB BR BNCO;0,00;
60479;604796;745;0,00;
380645;3806456;7891;0,00;
540636;5406364;88;0,00;
566162;7899594103982;A 03301 SALPIM COZINHEIRO;9,90;
566131;7899594111208;A 112081 SP COZINHEIRO;0,00;
566153;7899594111246;A 112462 COZ ESPAT;0,00;
566157;7899594111277;A 112771 COZ VINHO E LOUSA;39,90;
32155;321556;A BELA E A FERA EDT AVENIDA;0,00;
565334;7893979373311;A PALMEIRA ARECA REAL TOQUE X22 VERDE;172,90;
563727;7898578470898;AB100EQUADRO MAGICO DE PLASTICO 24 X 325 CM CX;29,90;
563725;7898578470904;AB2605QUADRO MAGICO DE PLASTICO 20 X16 C;18,90;
563728;7898578470720;AB2855BONECA PLAST;9,90;
563729;7898578470263;AB3619BONECA PLAST;18,90;
563720;7898578471246;AB3715CARRO PLASTICO A FRICCAO;9,90;
563724;7898578471161;AB4192CARROS SPORT BLISTER C2;8,90;
563726;7898934781170;AB5998QUADRO MAGICO DE PLASTICO 23 X 30 CM;26,90;
563731;7898578471529;AB7152DINOSSAUROS PEQ C13PCS;14,90;
563730;7898578471536;AB7153DINOSSAUROS GDE SOLAPA C7PCS;29,90;
563732;7898578471550;AB7155DINOSSAUROS MED SOLAPA C9 PCS;12,90;
